label,feature,ret_col,quintile,mean_pct,median_pct,hit_rate,n
basis_24h_vs_4h,basis_z_24h,fwd_ret_4h,Q1,-0.010425066566893508,0.033373432345040754,0.51611328125,2048
basis_24h_vs_4h,basis_z_24h,fwd_ret_4h,Q2,0.04725708961585181,0.05467445561198048,0.5368832437713728,2047
basis_24h_vs_4h,basis_z_24h,fwd_ret_4h,Q3,0.06874681673915571,0.05327629450242455,0.537371763556424,2047
basis_24h_vs_4h,basis_z_24h,fwd_ret_4h,Q4,0.060192597694675,0.011395676906822416,0.5114802149487054,2047
basis_24h_vs_4h,basis_z_24h,fwd_ret_4h,Q5,0.029548872711075876,-0.003978691555861502,0.49609375,2048
momentum_24h_vs_4h,mom_z_24h,fwd_ret_4h,Q1,0.03508021361765106,0.06422936553986958,0.5463976945244957,3470
momentum_24h_vs_4h,mom_z_24h,fwd_ret_4h,Q2,0.06225176510123551,0.06101357302421562,0.5504322766570605,3470
momentum_24h_vs_4h,mom_z_24h,fwd_ret_4h,Q3,-0.008255022667037192,0.003558545421711301,0.5024502738541367,3469
momentum_24h_vs_4h,mom_z_24h,fwd_ret_4h,Q4,0.026229304305376414,-0.0154483537208705,0.48587896253602303,3470
momentum_24h_vs_4h,mom_z_24h,fwd_ret_4h,Q5,0.0802383507619843,-0.027864147585887622,0.4821325648414986,3470
momentum_72h_vs_8h,mom_z_72h,fwd_ret_8h,Q1,0.01662706586368575,0.08239819009689953,0.545826036193812,3426
momentum_72h_vs_8h,mom_z_72h,fwd_ret_8h,Q2,0.090279056850334,0.05362192888522799,0.5385288966725044,3426
momentum_72h_vs_8h,mom_z_72h,fwd_ret_8h,Q3,-0.017095925106015243,-0.035755232498324574,0.482043795620438,3425
momentum_72h_vs_8h,mom_z_72h,fwd_ret_8h,Q4,0.10226419249625637,0.025398027477141483,0.5163455925277292,3426
momentum_72h_vs_8h,mom_z_72h,fwd_ret_8h,Q5,0.15498440461145843,0.04254357361341832,0.5213076474022184,3426
